asin,title,price,image_url,product_url,ASIN,BrowseNodeInfo.BrowseNodes.0.SalesRank,Offers.Listings.0.Price.Amount,Offers.Listings.0.Price.Currency,Offers.Listings.0.Price.DisplayAmount,Offers.Listings.0.SavingBasis.Percentage
B0CZHTB8ZZ,"Ben Martin Men's Slim Fit Stretchable 32 Size Grey Cotton Denim Jeans Pant for Men, JJ3-21",₹649.00,https://m.media-amazon.com/images/I/31UPdz5W4KL._SL500_.jpg,https://www.amazon.in/dp/B0CZHTB8ZZ?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CZHTB8ZZ,27,649,INR,₹649.00,N/A
B019XSHDL8,"Ben Martin Men's Regular Fit Stretchable 36 Size Dark Blue Cotton Denim Jeans Pant for Men, JJ3-1",₹649.00,https://m.media-amazon.com/images/I/41QFLArTr+L._SL500_.jpg,https://www.amazon.in/dp/B019XSHDL8?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B019XSHDL8,1,649,INR,₹649.00,N/A
B0D7623YQN,"Lymio Jeans for Men || Men Jeans Pants || Denim Jeans || Baggy Jeans for Men (04-05) (in, Numeric, 36, Blue)",₹729.00,https://m.media-amazon.com/images/I/31BhSfCw0dL._SL500_.jpg,https://www.amazon.in/dp/B0D7623YQN?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D7623YQN,11,729,INR,₹729.00,N/A
B0D297BC58,"U.S. POLO ASSN. Men's Tapered Jeans (UDJENO1801_Blue","₹1,399.00",https://m.media-amazon.com/images/I/31zAG3GlOlL._SL500_.jpg,https://www.amazon.in/dp/B0D297BC58?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D297BC58,16,1399,INR,"₹1,399.00",N/A
B0CL52LYHW,"Ben Martin Men's High Waist Tapered Fit Stretchable Size 38 Denim Dark Blue Carrot Fit Jeans Pant for Men 0",₹699.00,https://m.media-amazon.com/images/I/31it4xfGNEL._SL500_.jpg,https://www.amazon.in/dp/B0CL52LYHW?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CL52LYHW,10,699,INR,₹699.00,N/A
B0CZ6QKVQ5,"Lymio Jeans for Men || Men Jeans || Men Jeans Pants || Denim Jeans (Jeans-02-03) (32, Blue)",₹749.00,https://m.media-amazon.com/images/I/310e4+lw2XL._SL500_.jpg,https://www.amazon.in/dp/B0CZ6QKVQ5?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CZ6QKVQ5,33,749,INR,₹749.00,N/A
B09PG8ZRKM,"RAGZO Men's Slim Fit Stretchable Blue Jeans Pant - Modern Versatility and Comfort (Size 38, Model t70019f)",₹698.00,https://m.media-amazon.com/images/I/31YpMliivvL._SL500_.jpg,https://www.amazon.in/dp/B09PG8ZRKM?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B09PG8ZRKM,64,698,INR,₹698.00,N/A
B0D2965BSN,"Ben Martin Men's Black Denim Cotton Oversized Loose Baggy Fit Jeans Pants for Men, 32",₹799.00,https://m.media-amazon.com/images/I/31uhFV9UccL._SL500_.jpg,https://www.amazon.in/dp/B0D2965BSN?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D2965BSN,2,799,INR,₹799.00,N/A
B0D16YKQWG,"Lymio Men Jeans || Men Jeans Pants || Denim Jeans || Baggy Jeans for Men (Jeans-06-07-08) (36, Dark Blue)",₹749.00,https://m.media-amazon.com/images/I/41o8kAE4HCL._SL500_.jpg,https://www.amazon.in/dp/B0D16YKQWG?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D16YKQWG,3,749,INR,₹749.00,N/A
B0B7S3M4B2,"KETCH Men's Skinny Jeans (KHJN000207_Blue_32)",₹629.00,https://m.media-amazon.com/images/I/41-XbmsrQuL._SL500_.jpg,https://www.amazon.in/dp/B0B7S3M4B2?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0B7S3M4B2,89,629,INR,₹629.00,N/A
